probeset_id	transcript_id
13342927	AT1G21323
13342931	AT1G21340
13342933	AT1G21360
13342941	AT1G21370
13342950	AT1G21395
13342953	AT1G21400
13342963	AT1G21410
13342971	AT1G21430
13342975	AT1G21450
13342979	AT1G21560
13342989	AT1G21610
13343004	AT1G21620
13343008	AT1G21630
13343026	AT1G21640
13343040	AT1G21660
13343052	AT1G21670
13343055	AT1G21680
13343058	AT1G21690
13343073	AT1G21695
13343077	AT1G21710
13343083	AT1G21720
13343092	AT1G21722
13343095	AT1G21730
13343119	AT1G21740
13343124	AT1G21750
13343139	AT1G21760
13343151	AT1G21780
13343161	AT1G21790
13343167	AT1G21835
13343169	AT1G21840
13343173	AT1G21864
13343177	AT1G21866
13343180	AT1G21870
13343186	AT1G21880
13343195	AT1G21910
13343199	AT1G21930
13343203	AT1G21960
13343205	AT1G21975
13343207	AT1G21980
13343218	AT1G22000
13343226	AT1G22010
13343228	AT1G22020
13343235	AT1G22040
13343239	AT1G22050
13343245	AT1G22065
13343249	AT1G22067
13343251	AT1G22070
13343261	AT1G22090
